Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,20,chart20_100_3_0.patch,8,7,0
Chart,20,chart20_100_3_0.patch,9,7,0
Chart,20,chart20_100_3_0.patch,10,6,0
Chart,20,chart20_100_5_0.patch,1,6,0
Chart,20,chart20_100_5_0.patch,2,6,0
Chart,20,chart20_100_5_0.patch,3,7,0
Chart,20,chart20_100_5_0.patch,4,7,0
Chart,20,chart20_100_5_0.patch,5,7,0
Chart,20,chart20_100_5_0.patch,6,8,0
Chart,20,chart20_100_5_0.patch,7,7,0
Chart,20,chart20_100_5_0.patch,8,7,0
Chart,20,chart20_100_5_0.patch,9,7,0
Chart,20,chart20_100_5_0.patch,10,6,0
Chart,20,chart20_20_1_0.patch,1,6,0
Chart,20,chart20_20_1_0.patch,2,6,0
