Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,1,chart1_100_4_seed1_StmtDelete_601.patch,9,79,1
Chart,1,chart1_100_4_seed1_StmtDelete_601.patch,10,77,1
Chart,1,chart1_100_4_seed3_StmtReplace_603_155.patch,1,88,1
Chart,1,chart1_100_4_seed3_StmtReplace_603_155.patch,2,85,0
Chart,1,chart1_100_4_seed3_StmtReplace_603_155.patch,3,73,0
Chart,1,chart1_100_4_seed3_StmtReplace_603_155.patch,4,82,1
Chart,1,chart1_100_4_seed3_StmtReplace_603_155.patch,5,76,0
Chart,1,chart1_100_4_seed3_StmtReplace_603_155.patch,6,83,1
Chart,1,chart1_100_4_seed3_StmtReplace_603_155.patch,7,82,0
Chart,1,chart1_100_4_seed3_StmtReplace_603_155.patch,8,69,1
Chart,1,chart1_100_4_seed3_StmtReplace_603_155.patch,9,79,1
Chart,1,chart1_100_4_seed3_StmtReplace_603_155.patch,10,77,1
Chart,1,chart1_100_4_seed6_StmtDelete_602.patch,1,88,1
Chart,1,chart1_100_4_seed6_StmtDelete_602.patch,2,85,0
Chart,1,chart1_100_4_seed6_StmtDelete_602.patch,3,73,0
Chart,1,chart1_100_4_seed6_StmtDelete_602.patch,4,82,1
Chart,1,chart1_100_4_seed6_StmtDelete_602.patch,5,76,0
Chart,1,chart1_100_4_seed6_StmtDelete_602.patch,6,83,1
Chart,1,chart1_100_4_seed6_StmtDelete_602.patch,7,82,0
Chart,1,chart1_100_4_seed6_StmtDelete_602.patch,8,69,1
Chart,1,chart1_100_4_seed6_StmtDelete_602.patch,9,79,1
Chart,1,chart1_100_4_seed6_StmtDelete_602.patch,10,77,1
Chart,1,chart1_100_4_seed8_StmtReplace_603_177.patch,1,88,1
Chart,1,chart1_100_4_seed8_StmtReplace_603_177.patch,2,85,0
Chart,1,chart1_100_4_seed8_StmtReplace_603_177.patch,3,73,0
Chart,1,chart1_100_4_seed8_StmtReplace_603_177.patch,4,82,1
Chart,1,chart1_100_4_seed8_StmtReplace_603_177.patch,5,76,0
Chart,1,chart1_100_4_seed8_StmtReplace_603_177.patch,6,83,1
Chart,1,chart1_100_4_seed8_StmtReplace_603_177.patch,7,82,0
Chart,1,chart1_100_4_seed8_StmtReplace_603_177.patch,8,69,1
Chart,1,chart1_100_4_seed8_StmtReplace_603_177.patch,9,79,1
Chart,1,chart1_100_4_seed8_StmtReplace_603_177.patch,10,77,1
Chart,1,chart1_100_5_seed11_StmtReplace_603_15.patch,1,88,1
Chart,1,chart1_100_5_seed11_StmtReplace_603_15.patch,2,85,0
Chart,1,chart1_100_5_seed11_StmtReplace_603_15.patch,3,73,0
Chart,1,chart1_100_5_seed11_StmtReplace_603_15.patch,4,82,1
Chart,1,chart1_100_5_seed11_StmtReplace_603_15.patch,5,76,0
Chart,1,chart1_100_5_seed11_StmtReplace_603_15.patch,6,83,1
Chart,1,chart1_100_5_seed11_StmtReplace_603_15.patch,7,82,0
Chart,1,chart1_100_5_seed11_StmtReplace_603_15.patch,8,69,1
Chart,1,chart1_100_5_seed11_StmtReplace_603_15.patch,9,79,1
Chart,1,chart1_100_5_seed11_StmtReplace_603_15.patch,10,77,1
Chart,1,chart1_100_5_seed13_StmtReplace_603_3.patch,1,88,1
Chart,1,chart1_100_5_seed13_StmtReplace_603_3.patch,2,85,0
Chart,1,chart1_100_5_seed13_StmtReplace_603_3.patch,3,73,0
Chart,1,chart1_100_5_seed13_StmtReplace_603_3.patch,4,82,1
Chart,1,chart1_100_5_seed13_StmtReplace_603_3.patch,5,76,0
Chart,1,chart1_100_5_seed13_StmtReplace_603_3.patch,6,83,1
Chart,1,chart1_100_5_seed13_StmtReplace_603_3.patch,7,82,0
Chart,1,chart1_100_5_seed13_StmtReplace_603_3.patch,8,69,1
Chart,1,chart1_100_5_seed13_StmtReplace_603_3.patch,9,79,1
Chart,1,chart1_100_5_seed13_StmtReplace_603_3.patch,10,77,1
Chart,1,chart1_100_5_seed1_StmtDelete_603.patch,1,88,1
Chart,1,chart1_100_5_seed1_StmtDelete_603.patch,2,85,0
Chart,1,chart1_100_5_seed1_StmtDelete_603.patch,3,73,0
Chart,1,chart1_100_5_seed1_StmtDelete_603.patch,4,82,1
Chart,1,chart1_100_5_seed1_StmtDelete_603.patch,5,76,0
Chart,1,chart1_100_5_seed1_StmtDelete_603.patch,6,83,1
Chart,1,chart1_100_5_seed1_StmtDelete_603.patch,7,82,0
Chart,1,chart1_100_5_seed1_StmtDelete_603.patch,8,69,1
Chart,1,chart1_100_5_seed1_StmtDelete_603.patch,9,79,1
Chart,1,chart1_100_5_seed1_StmtDelete_603.patch,10,77,1
Chart,1,chart1_100_5_seed2_StmtDelete_601.patch,1,88,1
Chart,1,chart1_100_5_seed2_StmtDelete_601.patch,2,85,0
Chart,1,chart1_100_5_seed2_StmtDelete_601.patch,3,73,0
Chart,1,chart1_100_5_seed2_StmtDelete_601.patch,4,82,1
Chart,1,chart1_100_5_seed2_StmtDelete_601.patch,5,76,0
Chart,1,chart1_100_5_seed2_StmtDelete_601.patch,6,83,1
Chart,1,chart1_100_5_seed2_StmtDelete_601.patch,7,82,0
Chart,1,chart1_100_5_seed2_StmtDelete_601.patch,8,69,1
Chart,1,chart1_100_5_seed2_StmtDelete_601.patch,9,79,1
Chart,1,chart1_100_5_seed2_StmtDelete_601.patch,10,77,1
Chart,1,chart1_100_5_seed4_StmtReplace_602_1.patch,1,88,1
Chart,1,chart1_100_5_seed4_StmtReplace_602_1.patch,2,85,0
Chart,1,chart1_100_5_seed4_StmtReplace_602_1.patch,3,73,0
Chart,1,chart1_100_5_seed4_StmtReplace_602_1.patch,4,82,1
Chart,1,chart1_100_5_seed4_StmtReplace_602_1.patch,5,76,0
Chart,1,chart1_100_5_seed4_StmtReplace_602_1.patch,6,83,1
Chart,1,chart1_100_5_seed4_StmtReplace_602_1.patch,7,82,0
Chart,1,chart1_100_5_seed4_StmtReplace_602_1.patch,8,69,1
Chart,1,chart1_100_5_seed4_StmtReplace_602_1.patch,9,79,1
Chart,1,chart1_100_5_seed4_StmtReplace_602_1.patch,10,77,1
Chart,1,chart1_20_1_seed13_StmtReplace_603_5.patch,1,88,1
Chart,1,chart1_20_1_seed13_StmtReplace_603_5.patch,2,85,0
Chart,1,chart1_20_1_seed13_StmtReplace_603_5.patch,3,73,0
Chart,1,chart1_20_1_seed13_StmtReplace_603_5.patch,4,82,1
Chart,1,chart1_20_1_seed13_StmtReplace_603_5.patch,5,76,0
Chart,1,chart1_20_1_seed13_StmtReplace_603_5.patch,6,83,1
Chart,1,chart1_20_1_seed13_StmtReplace_603_5.patch,7,82,1
Chart,1,chart1_20_1_seed13_StmtReplace_603_5.patch,8,69,1
Chart,1,chart1_20_1_seed13_StmtReplace_603_5.patch,9,79,1
Chart,1,chart1_20_1_seed13_StmtReplace_603_5.patch,10,77,1
Chart,1,chart1_20_1_seed17_StmtReplace_603_0.patch,1,88,1
Chart,1,chart1_20_1_seed17_StmtReplace_603_0.patch,2,85,0
Chart,1,chart1_20_1_seed17_StmtReplace_603_0.patch,3,73,1
Chart,1,chart1_20_1_seed17_StmtReplace_603_0.patch,4,82,1
Chart,1,chart1_20_1_seed17_StmtReplace_603_0.patch,5,76,1
Chart,1,chart1_20_1_seed17_StmtReplace_603_0.patch,6,83,1
Chart,1,chart1_20_1_seed17_StmtReplace_603_0.patch,7,82,1
Chart,1,chart1_20_1_seed17_StmtReplace_603_0.patch,8,69,2
Chart,1,chart1_20_1_seed17_StmtReplace_603_0.patch,9,79,1
Chart,1,chart1_20_1_seed17_StmtReplace_603_0.patch,10,77,1
Chart,1,chart1_20_1_seed1_StmtDelete_603.patch,1,88,1
Chart,1,chart1_20_1_seed1_StmtDelete_603.patch,2,85,0
Chart,1,chart1_20_1_seed1_StmtDelete_603.patch,3,73,0
Chart,1,chart1_20_1_seed1_StmtDelete_603.patch,4,82,1
Chart,1,chart1_20_1_seed1_StmtDelete_603.patch,5,76,0
