Project,Bug,TSSeed,NumberOfTests,NumberOfFailingTests
time,time7,5,39,0
time,time7,6,40,0
time,time7,7,38,0
time,time7,8,39,0
time,time7,9,37,0
time,time7,10,41,0
chart,chart12,1,25,0
chart,chart12,2,26,0
chart,chart12,3,25,0
chart,chart12,4,23,0
chart,chart12,5,25,0
chart,chart12,6,27,1
chart,chart12,7,26,0
chart,chart12,8,26,0
chart,chart12,9,26,0
chart,chart12,10,26,0
chart,chart18,1,22,2
chart,chart18,2,20,2
chart,chart18,3,20,2
chart,chart18,4,22,2
chart,chart18,5,21,2
chart,chart18,6,21,2
chart,chart18,7,21,2
chart,chart18,8,22,2
chart,chart18,9,23,2
chart,chart18,10,20,2
chart,chart20,1,6,0
chart,chart20,2,6,0
chart,chart20,3,7,0
chart,chart20,4,7,0
chart,chart20,5,7,0
chart,chart20,6,8,0
chart,chart20,7,7,0
chart,chart20,8,7,0
chart,chart20,9,7,0
chart,chart20,10,6,0
chart,chart22,1,22,3
chart,chart22,2,21,3
chart,chart22,3,22,3
chart,chart22,4,20,3
chart,chart22,5,22,4
chart,chart22,6,21,3
chart,chart22,7,23,3
chart,chart22,8,22,3
chart,chart22,9,20,4
chart,chart22,10,20,2
closure,closure106,1,51,0
closure,closure106,2,49,0
closure,closure106,3,49,0
closure,closure106,4,53,0
closure,closure106,5,52,0
closure,closure106,6,52,1
closure,closure106,7,55,0
closure,closure106,8,51,1
closure,closure106,9,51,0
closure,closure106,10,51,1
closure,closure109,1,17,0
closure,closure109,2,19,0
closure,closure109,3,21,0
closure,closure109,4,26,0
closure,closure109,5,18,0
closure,closure109,6,20,0
closure,closure109,7,21,0
closure,closure109,8,20,0
closure,closure109,9,23,0
closure,closure109,10,17,0
closure,closure14,1,34,0
closure,closure14,2,32,0
closure,closure14,3,35,0
closure,closure14,4,30,0
closure,closure14,5,35,0
closure,closure14,6,34,0
closure,closure14,7,33,0
closure,closure14,8,29,0
closure,closure14,9,35,0
closure,closure14,10,24,0
closure,closure26,1,6,0
closure,closure26,2,6,0
closure,closure26,3,6,0
closure,closure26,4,15,0
closure,closure26,5,6,0
closure,closure26,6,7,0
closure,closure26,7,6,0
closure,closure26,8,6,0
closure,closure26,9,7,0
closure,closure26,10,6,0
closure,closure39,1,33,0
closure,closure39,2,33,1
closure,closure39,3,30,0
closure,closure39,4,34,0
closure,closure39,5,30,0
closure,closure39,6,34,0
closure,closure39,7,29,0
closure,closure39,8,31,1
closure,closure39,9,33,0
closure,closure39,10,33,0
closure,closure57,1,21,0
closure,closure57,2,21,0
closure,closure57,3,21,0
closure,closure57,4,26,0
closure,closure57,5,21,0
closure,closure57,6,22,0
closure,closure57,7,22,0
closure,closure57,8,22,0
closure,closure57,9,21,0
closure,closure57,10,25,0
closure,closure68,1,31,0
closure,closure68,2,33,0
closure,closure68,3,33,0
closure,closure68,4,33,0
closure,closure68,5,32,0
closure,closure68,6,31,0
closure,closure68,7,31,0
closure,closure68,8,33,0
closure,closure68,9,31,0
closure,closure68,10,31,0
closure,closure73,1,22,1
closure,closure73,2,21,0
closure,closure73,3,21,1
closure,closure73,4,21,0
closure,closure73,5,23,0
closure,closure73,6,20,0
closure,closure73,7,25,2
closure,closure73,8,23,0
closure,closure73,9,24,1
closure,closure73,10,24,1
closure,closure79,1,4,0
closure,closure79,2,4,0
closure,closure79,3,5,0
closure,closure79,4,6,0
closure,closure79,5,6,0
closure,closure79,6,4,0
closure,closure79,7,5,0
closure,closure79,8,5,0
closure,closure79,9,4,0
closure,closure79,10,5,0
closure,closure93,1,7,0
closure,closure93,2,8,0
closure,closure93,3,7,0
closure,closure93,4,7,0
closure,closure93,5,7,0
closure,closure93,6,7,0
closure,closure93,7,7,0
closure,closure93,8,7,0
closure,closure93,9,5,0
closure,closure93,10,7,0
lang,lang16,1,109,1
lang,lang16,2,112,0
lang,lang16,3,113,1
lang,lang16,4,110,0
lang,lang16,5,111,0
lang,lang16,6,111,0
lang,lang16,7,116,0
lang,lang16,8,111,1
lang,lang16,9,110,1
lang,lang16,10,112,1
lang,lang27,1,110,2
lang,lang27,2,112,1
lang,lang27,3,109,2
lang,lang27,4,113,2
lang,lang27,5,109,1
lang,lang27,6,110,1
lang,lang27,7,113,1
lang,lang27,8,108,1
lang,lang27,9,111,1
lang,lang27,10,112,1
lang,lang41,1,63,3
lang,lang41,2,62,2
lang,lang41,3,62,3
lang,lang41,4,58,1
lang,lang41,5,62,2
lang,lang41,6,63,2
lang,lang41,7,65,4
lang,lang41,8,62,3
lang,lang41,9,59,1
lang,lang41,10,60,4
lang,lang50,1,32,0
lang,lang50,2,30,0
lang,lang50,3,32,0
lang,lang50,4,32,0
lang,lang50,5,30,0
lang,lang50,6,29,0
lang,lang50,7,29,0
lang,lang50,8,27,0
lang,lang50,9,37,0
lang,lang50,10,31,0
lang,lang60,1,158,0
lang,lang60,2,157,0
