Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,26,chart26_Seed2_d_235.patch,3,62,2
Chart,26,chart26_Seed2_d_235.patch,4,59,0
Chart,26,chart26_Seed2_d_235.patch,5,67,1
Chart,26,chart26_Seed2_d_235.patch,6,62,2
Chart,26,chart26_Seed2_d_235.patch,7,62,0
Chart,26,chart26_Seed2_d_235.patch,8,66,1
Chart,26,chart26_Seed2_d_235.patch,9,43,0
Chart,26,chart26_Seed2_d_235.patch,10,62,2
Chart,26,chart26_Seed5_d_283.patch,1,64,0
Chart,26,chart26_Seed5_d_283.patch,2,60,0
Chart,26,chart26_Seed5_d_283.patch,3,62,2
Chart,26,chart26_Seed5_d_283.patch,4,59,0
Chart,26,chart26_Seed5_d_283.patch,5,67,1
Chart,26,chart26_Seed5_d_283.patch,6,62,0
Chart,26,chart26_Seed5_d_283.patch,7,62,0
Chart,26,chart26_Seed5_d_283.patch,8,66,0
Chart,26,chart26_Seed5_d_283.patch,9,43,0
Chart,26,chart26_Seed5_d_283.patch,10,62,0
Chart,26,chart26_Seed9_r_284_270.patch,1,64,0
Chart,26,chart26_Seed9_r_284_270.patch,2,60,0
Chart,26,chart26_Seed9_r_284_270.patch,3,62,2
Chart,26,chart26_Seed9_r_284_270.patch,4,59,0
Chart,26,chart26_Seed9_r_284_270.patch,5,67,1
Chart,26,chart26_Seed9_r_284_270.patch,6,62,2
Chart,26,chart26_Seed9_r_284_270.patch,7,62,0
Chart,26,chart26_Seed9_r_284_270.patch,8,66,1
Chart,26,chart26_Seed9_r_284_270.patch,9,43,0
Chart,26,chart26_Seed9_r_284_270.patch,10,62,2
Chart,3,chart3_Seed10_a_263_244.patch,1,70,0
Chart,3,chart3_Seed10_a_263_244.patch,2,71,0
Chart,3,chart3_Seed10_a_263_244.patch,3,71,1
Chart,3,chart3_Seed10_a_263_244.patch,4,68,0
Chart,3,chart3_Seed10_a_263_244.patch,5,67,0
Chart,3,chart3_Seed10_a_263_244.patch,6,69,0
Chart,3,chart3_Seed10_a_263_244.patch,7,74,0
Chart,3,chart3_Seed10_a_263_244.patch,8,70,1
Chart,3,chart3_Seed10_a_263_244.patch,9,72,0
Chart,3,chart3_Seed10_a_263_244.patch,10,69,0
Chart,3,chart3_Seed11_a_109_464.patch,1,70,0
Chart,3,chart3_Seed11_a_109_464.patch,2,71,0
Chart,3,chart3_Seed11_a_109_464.patch,3,71,0
Chart,3,chart3_Seed11_a_109_464.patch,4,68,0
Chart,3,chart3_Seed11_a_109_464.patch,5,67,0
Chart,3,chart3_Seed11_a_109_464.patch,6,69,0
Chart,3,chart3_Seed11_a_109_464.patch,7,74,0
Chart,3,chart3_Seed11_a_109_464.patch,8,70,0
Chart,3,chart3_Seed11_a_109_464.patch,9,72,0
Chart,3,chart3_Seed11_a_109_464.patch,10,69,0
Chart,3,chart3_Seed12_r_119_331.patch,1,70,0
Chart,3,chart3_Seed12_r_119_331.patch,2,71,1
Chart,3,chart3_Seed12_r_119_331.patch,3,71,0
Chart,3,chart3_Seed12_r_119_331.patch,4,68,0
Chart,3,chart3_Seed12_r_119_331.patch,5,67,1
Chart,3,chart3_Seed12_r_119_331.patch,6,69,1
Chart,3,chart3_Seed12_r_119_331.patch,7,74,1
Chart,3,chart3_Seed12_r_119_331.patch,8,70,1
Chart,3,chart3_Seed12_r_119_331.patch,9,72,0
Chart,3,chart3_Seed12_r_119_331.patch,10,69,1
Chart,3,chart3_Seed13_a_134_244.patch,1,70,0
Chart,3,chart3_Seed13_a_134_244.patch,2,71,0
Chart,3,chart3_Seed13_a_134_244.patch,3,71,0
Chart,3,chart3_Seed13_a_134_244.patch,4,68,0
Chart,3,chart3_Seed13_a_134_244.patch,5,67,0
Chart,3,chart3_Seed13_a_134_244.patch,6,69,0
Chart,3,chart3_Seed13_a_134_244.patch,7,74,0
Chart,3,chart3_Seed13_a_134_244.patch,8,70,0
Chart,3,chart3_Seed13_a_134_244.patch,9,72,0
Chart,3,chart3_Seed13_a_134_244.patch,10,69,0
Chart,3,chart3_Seed15_r_164_272.patch,1,70,0
Chart,3,chart3_Seed15_r_164_272.patch,2,71,0
Chart,3,chart3_Seed15_r_164_272.patch,3,71,0
Chart,3,chart3_Seed15_r_164_272.patch,4,68,0
Chart,3,chart3_Seed15_r_164_272.patch,5,67,0
Chart,3,chart3_Seed15_r_164_272.patch,6,69,0
Chart,3,chart3_Seed15_r_164_272.patch,7,74,0
Chart,3,chart3_Seed15_r_164_272.patch,8,70,0
Chart,3,chart3_Seed15_r_164_272.patch,9,72,0
Chart,3,chart3_Seed15_r_164_272.patch,10,69,0
